RelPath,Status,Detail,Width,Height,MeanR,MeanG,MeanB,ColorDiff,BrightPct,DarkPct,LaplacianVar
2013\K1\10X\02_03-2013_11_26-10_16-K1-10X.jpeg,OK,Clean image,2288,1712,147.2,114.0,94.2,35.35,0.2%,0.0%,1067.40
2013\K1\10X\02_03-2013_11_27-09_57-K1-10X.jpeg,OK,Clean image,2288,1712,139.3,111.8,103.7,23.80,0.1%,0.0%,906.50
2013\K1\10X\02_03-2013_11_30-10_00-K1-10X.jpeg,OK,Clean image,2288,1712,121.2,123.5,123.7,5.27,0.0%,0.0%,299.42
2013\K1\10X\02_03-2013_12_02-09_54-K1-10X.jpeg,OK,Clean image,2288,1712,140.9,129.4,115.7,17.09,0.1%,0.0%,762.21
2013\K1\10X\02_03-2013_12_04-10_14-K1-10X.jpeg,OK,Clean image,2288,1712,148.8,121.3,94.3,36.38,0.1%,0.0%,977.90
2013\K1\10X\02_03-2013_12_05-10_16-K1-10X.jpeg,OK,Clean image,2288,1712,142.4,118.9,99.9,28.46,0.1%,0.0%,1159.43
2013\K1\10X\02_03-2013_12_07-09_57-K1-10X.jpeg,OK,Clean image,2288,1712,135.1,116.6,116.2,14.60,0.0%,0.0%,713.18
2013\K1\10X\02_03-2013_12_08-09_50-K1-10X.jpeg,OK,Clean image,2288,1712,116.4,118.1,118.4,5.13,0.0%,0.0%,384.79
2013\K1\10X\02_03-2013_12_11-10_15-K1-10X.jpeg,OK,Clean image,2288,1712,123.2,128.5,125.5,5.48,0.0%,0.0%,617.36
2013\K1\10X\02_03-2013_12_12-10_11-K1-10X.jpeg,OK,Clean image,2288,1712,134.5,129.9,123.6,8.11,0.0%,0.0%,337.92
2013\K1\10X\02_03-2013_12_13-09_56-K1-10X.jpeg,OK,Clean image,2288,1712,145.7,120.9,98.8,31.34,0.0%,0.0%,866.02
2013\K1\10X\02_03-2013_12_14-11_34-K1-10X.jpeg,OK,Clean image,2288,1712,124.7,116.4,106.8,13.24,0.3%,0.0%,1838.16
2013\K1\10X\02_03-2013_12_15-10_08-K1-10X.jpeg,OK,Clean image,2288,1712,123.5,130.7,128.8,7.34,0.1%,0.0%,740.55
2013\K1\10X\02_03-2013_12_16-10_07-K1-10X.jpeg,OK,Clean image,2288,1712,128.1,129.4,131.8,6.65,0.1%,0.0%,736.48
2013\K1\10X\02_03-2013_12_17-10_04-K1-10X.jpeg,OK,Clean image,2288,1712,116.9,120.1,120.2,5.94,0.0%,0.0%,581.39
2013\K1\10X\02_03-2013_12_18-10_02-K1-10X.jpeg,OK,Clean image,2288,1712,119.3,118.0,121.1,5.92,0.0%,0.0%,595.84
2013\K1\10X\02_03-2013_12_19-10_58-K1-10X.jpeg,OK,Clean image,2288,1712,118.9,118.5,113.6,8.70,0.2%,0.0%,1661.34
2013\K1\10X\02_03-2013_12_20-10_02-K1-10X.jpeg,OK,Clean image,2288,1712,115.5,118.1,118.8,5.89,0.0%,0.0%,552.67
2013\K1\10X\02_03-2013_12_23-09_51-K1-10X.jpeg,OK,Clean image,2288,1712,119.8,119.7,121.9,5.79,0.0%,0.0%,614.95
2013\K1\10X\02_03-2013_12_24-09_50-K1-10X.jpeg,OK,Clean image,2288,1712,124.0,122.4,125.8,6.15,0.0%,0.0%,675.31
2013\K1\10X\02_03-2013_12_25-10_48-K1-10X.jpeg,OK,Clean image,2288,1712,131.3,125.4,114.4,12.29,0.1%,0.0%,1066.07
2013\K1\10X\02_03-2013_12_26-09_59-K1-10X.jpeg,OK,Clean image,2288,1712,142.6,129.0,108.2,23.27,0.0%,0.0%,904.73
2013\K1\10X\02_03-2013_12_28-11_01-K1-10X.jpeg,OK,Clean image,2288,1712,126.0,125.0,116.0,9.33,0.1%,0.0%,1366.26
2013\K1\10X\02_03-2013_12_29-11_06-K1-10X.jpeg,OK,Clean image,2288,1712,126.8,120.2,121.9,8.20,0.0%,0.0%,899.58
2013\K1\10X\02_03-2013_12_30-09_51-K1-10X.jpeg,OK,Clean image,2288,1712,141.0,117.0,92.8,32.21,0.0%,0.0%,155.75
2013\K1\10X\02_03-2013_12_31-11_50-K1-10X.jpeg,OK,Clean image,2288,1712,144.9,123.8,91.7,35.75,0.1%,0.0%,1215.76
2013\K1\1X\02_03-2013_02_27-09_14-K1-1X.jpeg,OK,Clean image,2288,1712,122.5,145.0,46.0,66.03,0.0%,0.3%,524.98
2013\K1\1X\02_03-2013_02_28-09_32-K1-1X.jpeg,OK,Clean image,2288,1712,123.1,157.6,56.4,67.57,0.0%,0.0%,248.89
2013\K1\1X\02_03-2013_03_01-10_04-K1-1X.jpeg,OK,Clean image,2288,1712,119.9,147.1,38.9,72.17,0.0%,0.9%,543.84
2013\K1\1X\02_03-2013_03_02-10_55-K1-1X.jpeg,OK,Clean image,2288,1712,117.9,147.9,35.9,74.70,0.0%,1.5%,521.16
2013\K1\1X\02_03-2013_03_03-10_42-K1-1X.jpeg,OK,Clean image,2288,1712,118.9,149.3,41.3,72.00,0.0%,0.3%,302.13
2013\K1\1X\02_03-2013_03_04-09_58-K1-1X.jpeg,OK,Clean image,2288,1712,116.7,151.9,53.4,65.70,0.0%,0.0%,226.54
2013\K1\1X\02_03-2013_03_05-11_54-K1-1X.jpeg,OK,Clean image,2288,1712,112.3,145.2,44.7,67.07,0.0%,0.2%,357.45
2013\K1\1X\02_03-2013_03_06-09_35-K1-1X.jpeg,OK,Clean image,2288,1712,115.3,145.1,45.3,66.49,0.0%,0.2%,575.00
2013\K1\1X\02_03-2013_03_07-09_55-K1-1X.jpeg,OK,Clean image,2288,1712,118.6,147.2,39.7,71.70,0.0%,0.8%,576.10
2013\K1\1X\02_03-2013_03_08-10_35-K1-1X.jpeg,OK,Clean image,2288,1712,124.1,154.0,45.5,72.32,0.0%,0.1%,298.23
2013\K1\1X\02_03-2013_03_09-09_51-K1-1X.jpeg,OK,Clean image,2288,1712,121.6,149.8,51.0,65.88,0.0%,0.0%,280.45
2013\K1\1X\02_03-2013_03_10-10_41-K1-1X.jpeg,OK,Clean image,2288,1712,119.4,146.7,37.8,72.61,0.0%,1.0%,453.50
2013\K1\1X\02_03-2013_03_11-09_24-K1-1X.jpeg,OK,Clean image,2288,1712,124.7,148.2,45.3,68.66,0.0%,0.4%,520.73
2013\K1\1X\02_03-2013_03_12-10_39-K1-1X.jpeg,OK,Clean image,2288,1712,123.1,149.4,39.7,73.16,0.0%,0.5%,309.63
2013\K1\1X\02_03-2013_03_13-09_27-K1-1X.jpeg,OK,Clean image,2288,1712,127.0,150.9,43.2,71.89,0.0%,0.2%,339.09
2013\K1\1X\02_03-2013_03_14-10_11-K1-1X.jpeg,OK,Clean image,2288,1712,119.4,149.7,38.7,74.02,0.0%,1.1%,464.83
2013\K1\1X\02_03-2013_03_15-10_30-K1-1X.jpeg,OK,Clean image,2288,1712,119.5,149.3,35.7,75.81,0.0%,0.7%,351.89
2013\K1\1X\02_03-2013_04_03-09_17-K1-1X.jpeg,OK,Clean image,2288,1712,121.3,154.6,54.8,66.60,0.0%,0.1%,444.12
2013\K1\1X\02_03-2013_04_04-11_22-K1-1X.jpeg,OK,Clean image,2288,1712,110.6,149.4,49.1,66.93,0.0%,0.1%,368.31
2013\K1\1X\02_03-2013_04_05-09_48-K1-1X.jpeg,OK,Clean image,2288,1712,113.1,151.6,51.4,66.80,0.0%,0.3%,696.22
2013\K1\1X\02_03-2013_04_07-09_53-K1-1X.jpeg,OK,Clean image,2288,1712,113.4,152.5,48.5,69.34,0.0%,0.3%,574.90
2013\K1\1X\02_03-2013_04_08-10_10-K1-1X.jpeg,OK,Clean image,2288,1712,113.2,154.5,50.9,69.06,0.0%,0.2%,556.26
2013\K1\1X\02_03-2013_04_09-09_56-K1-1X.jpeg,OK,Clean image,2288,1712,110.6,149.6,65.9,55.80,0.0%,0.0%,467.91
2013\K1\1X\02_03-2013_04_10-10_45-K1-1X.jpeg,OK,Clean image,2288,1712,101.2,140.2,60.6,53.04,0.0%,0.0%,230.28
2013\K1\1X\02_03-2013_04_11-10_01-K1-1X.jpeg,OK,Clean image,2288,1712,107.5,152.3,54.9,64.95,0.0%,0.2%,785.72
2013\K1\1X\02_03-2013_04_15-11_16-K1-1X.jpeg,OK,Clean image,2288,1712,110.5,149.7,64.8,56.63,0.0%,0.0%,714.32
2013\K1\1X\02_03-2013_04_16-09_00-K1-1X.jpeg,OK,Clean image,2288,1712,124.9,148.0,121.2,18.39,0.0%,0.0%,709.18
2013\K1\1X\02_03-2013_04_18-08_18-K1-1X.jpeg,OK,Clean image,2288,1712,114.1,150.8,88.4,41.57,0.0%,0.0%,642.52
2013\K1\1X\02_03-2013_04_19-09_08-K1-1X.jpeg,OK,Clean image,2288,1712,114.0,147.2,84.5,41.79,0.0%,0.0%,379.31
2013\K1\1X\02_03-2013_04_20-10_27-K1-1X.jpeg,OK,Clean image,2288,1712,117.5,153.8,91.1,41.79,0.0%,0.0%,471.69
2013\K1\1X\02_03-2013_04_23-09_24-K1-1X.jpeg,OK,Clean image,2288,1712,120.9,152.6,80.7,47.95,0.0%,0.0%,648.26
2013\K1\1X\02_03-2013_04_24-09_56-K1-1X.jpeg,OK,Clean image,2288,1712,116.7,148.5,75.9,48.43,0.0%,0.0%,601.97
2013\K1\1X\02_03-2013_04_25-10_02-K1-1X.jpeg,OK,Clean image,2288,1712,120.8,155.4,83.3,48.10,0.0%,0.0%,607.77
2013\K1\1X\02_03-2013_05_03-08_28-K1-1X.jpeg,OK,Clean image,2288,1712,129.3,141.5,83.0,39.07,0.0%,0.0%,394.54
2013\K1\1X\02_03-2013_05_04-10_45-K1-1X.jpeg,OK,Clean image,2288,1712,140.3,148.3,82.6,44.37,0.0%,0.0%,298.94
2013\K1\1X\02_03-2013_05_06-09_46-K1-1X.jpeg,OK,Clean image,2288,1712,140.0,147.1,83.6,42.88,0.0%,0.0%,351.42
2013\K1\1X\02_03-2013_05_07-09_33-K1-1X.jpeg,OK,Clean image,2288,1712,142.5,144.1,85.9,39.78,0.0%,0.0%,255.79
2013\K1\1X\02_03-2013_05_08-10_23-K1-1X.jpeg,OK,Clean image,2288,1712,134.3,135.9,77.3,40.49,0.0%,0.0%,295.48
2013\K1\1X\02_03-2013_05_10-10_16-K1-1X.jpeg,OK,Clean image,2288,1712,134.2,133.1,79.5,37.37,0.0%,0.0%,285.30
2013\K1\1X\02_03-2013_05_17-11_50-K1-1X.jpeg,OK,Clean image,2288,1712,149.1,140.8,76.8,48.24,0.0%,0.0%,468.23
2013\K1\1X\02_03-2013_05_18-10_08-K1-1X.jpeg,OK,Clean image,2288,1712,140.9,129.7,68.5,48.29,0.0%,0.0%,328.02
2013\K1\1X\02_03-2013_05_20-09_47-K1-1X.jpeg,OK,Clean image,2288,1712,152.6,134.5,75.9,51.11,0.0%,0.0%,386.07
2013\K1\1X\02_03-2013_05_28-10_06-K1-1X.jpeg,OK,Clean image,2288,1712,160.1,135.6,87.5,48.40,0.0%,0.0%,322.23
2013\K1\1X\02_03-2013_05_29-09_49-K1-1X.jpeg,OK,Clean image,2288,1712,158.6,135.4,88.2,46.96,0.0%,0.0%,394.60
2013\K1\1X\02_03-2013_06_05-10_05-K1-1X.jpeg,OK,Clean image,2288,1712,157.5,135.4,91.4,44.05,0.0%,0.0%,570.13
2013\K1\1X\02_03-2013_06_09-10_14-K1-1X.jpeg,OK,Clean image,2288,1712,156.9,135.3,89.8,44.72,0.0%,0.0%,581.59
2013\K1\1X\02_03-2013_06_12-10_08-K1-1X.jpeg,OK,Clean image,2288,1712,156.2,136.0,90.6,43.73,0.0%,0.0%,568.45
2013\K1\1X\02_03-2013_06_16-10_10-K1-1X.jpeg,OK,Clean image,2288,1712,156.0,134.9,91.8,42.81,0.0%,0.0%,618.60
2013\K1\1X\02_03-2013_06_19-09_52-K1-1X.jpeg,OK,Clean image,2288,1712,153.9,135.6,93.7,40.15,0.0%,0.0%,561.02
2013\K1\1X\02_03-2013_06_21-09_49-K1-1X.jpeg,OK,Clean image,2288,1712,153.5,136.0,94.5,39.28,0.0%,0.0%,579.38
2013\K1\1X\02_03-2013_06_23-09_56-K1-1X.jpeg,OK,Clean image,2288,1712,150.3,137.3,101.9,32.30,0.0%,0.0%,531.32
2013\K1\1X\02_03-2013_06_26-09_49-K1-1X.jpeg,OK,Clean image,2288,1712,149.2,136.3,103.1,30.73,0.0%,0.0%,582.56
2013\K1\1X\02_03-2013_06_27-10_07-K1-1X.jpeg,OK,Clean image,2288,1712,150.1,136.6,99.5,33.75,0.0%,0.0%,533.71
2013\K1\1X\02_03-2013_07_03-09_52-K1-1X.jpeg,OK,Clean image,2288,1712,147.3,135.6,105.1,28.15,0.0%,0.0%,637.30
2013\K1\1X\02_03-2013_07_05-10_16-K1-1X.jpeg,OK,Clean image,2288,1712,146.5,135.6,103.1,28.92,0.0%,0.0%,573.89
2013\K1\1X\02_03-2013_07_06-10_05-K1-1X.jpeg,OK,Clean image,2288,1712,147.3,135.7,101.6,30.41,0.0%,0.0%,573.24
2013\K1\1X\02_03-2013_07_12-09_53-K1-1X.jpeg,OK,Clean image,2288,1712,145.5,135.6,105.6,26.65,0.0%,0.0%,644.25
2013\K1\1X\02_03-2013_07_27-09_57-K1-1X.jpeg,OK,Clean image,2288,1712,148.4,135.8,103.1,30.19,0.0%,0.0%,712.59
2013\K1\1X\02_03-2013_07_30-10_12-K1-1X.jpeg,OK,Clean image,2288,1712,148.3,135.9,103.7,29.74,0.0%,0.0%,745.99
2013\K1\1X\02_03-2013_07_31-09_13-K1-1X.jpeg,OK,Clean image,2288,1712,147.3,135.7,106.2,27.40,0.0%,0.0%,824.77
2013\K1\1X\02_03-2013_08_14-10_01-K1-1X.jpeg,OK,Clean image,2288,1712,149.1,129.7,114.6,23.05,0.3%,0.0%,1493.52
2013\K1\1X\02_03-2013_08_23-10_16-K1-1X.jpeg,OK,Clean image,2288,1712,145.2,126.2,111.0,22.83,0.3%,0.0%,1418.98
2013\K1\1X\02_03-2013_09_03-10_07-K1-1X.jpeg,OK,Clean image,2288,1712,145.8,130.7,119.0,17.93,0.2%,0.0%,1257.33
2013\K1\1X\02_03-2013_09_04-10_03-K1-1X.jpeg,OK,Clean image,2288,1712,148.0,131.9,121.3,17.87,0.4%,0.0%,1592.43
